;Year of project;Organization type;Role in organization;Size of organization;Size of IT department;Customer organization type;Estimated duration;Actual duration;Development type;Application domain;Object points;Other sizing method;Estimated effort;Actual effort;Contract maturity;Government policy impact;Economic instability impact;Organization management structure clarity;Developer hiring policy;Developer incentives policy;Developer training;Development team management;Top management support;Top management opinion of previous system;Clarity of manual system;User resistance;User computer experience;Users stability;Requirment stability;Requirements flexibility;Project manager experience;Consultant availability;DBMS expert availability;Precedentedness;Software tool experience;Programmers experience in programming language;Programmers capability;Analysts capability;Team selection;Team size;Dedicated team members;Daily working hours;Team contracts;Team continuity;Team cohesion;Income satisfaction;Schedule quality;Development environment adequacy;Tool availability;Methodology;Multiple programing languages;Programming language used;DBMS used;Technical stability;Open source software;Level of outsourcing;Degree of software reuse;Degree of risk management;Use of standards;Process reengineering;Requirement accuracy level;Technical documentation;Comments within the code;User manual;Required reusability;Performance requirements;Product complexity;Security requirements;Reliability requirements;Specified H/W
0;2015;1;1;16;7;13;2;3;1;7;100;2;2112;3168;8;4;1;2;1;8;3;4;4;1;2;1,75;2;1,888888889;2,587301587;4,555555556;2;3;0;2;2;2;2;1;3;6;6;8;1;16,66666667;2;3;2;1;7;2;1;1;1;1;1;3;5;3;3;1,888888889;;1;3;1;1;1;2;2;3;1
1;2016;5;1;2;1;2;2;3;1;3;19;2;1056;1584;4;4;3;1;2;6;3;7;4;1;4;2,5;2;1,888888889;2,904761905;4,555555556;1;3;0;2;5;2;2;2;3;3;3;8;1;0;6;4;2;1;8;1;2;5;1;1;1;3;5;3;3;4,555555556;2;2;2;1;4;1;1;4;2;1
2;2008;5;3;2;2;3;3;5;1;3;64;3;3168;5280;4;5;2;3;4;6;3;6;1;0;6;2;2;1,888888889;1;1,888888889;2;2;1;4;1;1;2;2;2;6;6;8;1;0;5;2;1;1;8;3;1;3;1;1;0;3;5;2;3;1,444444444;3;2;2;2;3;4;3;5;2;3
3;2009;4;2;3;2;4;6;6;1;7;246;5;5280;5280;2;4;1;1;1;4;3;6;4;1;3;3,25;2;5;2,507936508;1;1;1;1;4;1;1;4;4;2;6;4;8;2;0;1;2;1;1;4;2;1;4;2;2;0;1;3;1;2;1,444444444;1;1;3;4;3;2;4;3;4;2
4;2016;4;2;3;2;4;12;24;1;7;420;5;19008;38016;3;4;3;1;2;3;3;2;4;1;3;2,75;2;1,888888889;4,650793651;1;1;2;1;4;2;1;4;4;3;9;9;8;1;44,44444444;2;3;1;1;4;2;3;24;2;1;0;3;3;1;3;1;1;1;3;4;3;4;3;3;4;2
5;2012;4;2;3;2;4;6;8;4;7;177;5;7392;9856;3;4;2;1;2;3;3;2;4;0;2;1,75;3;4,555555556;4,412698413;1;1;3;1;4;1;1;4;4;3;7;7;8;1;14,28571429;1;2;1;1;4;2;1;4;3;1;0;3;3;1;3;1;1;1;3;4;3;4;3;3;4;2
6;2016;4;1;3;1;4;6;9;1;7;54;5;5280;7920;3;4;1;1;2;4;2;2;4;0;4;3,5;1;5;3,380952381;1;2;1;1;4;2;2;4;4;3;5;5;8;2;0;1;2;1;1;4;2;1;6;3;1;0;1;5;1;3;1;1;1;2;4;3;4;4;3;4;2
7;2018;4;4;3;2;4;4;4;1;7;71;5;4400;4400;3;5;2;1;2;4;2;2;4;0;3;4;2;1,888888889;2,666666667;1;2;2;0;4;1;1;4;4;3;5;5;10;1;0;1;2;1;1;4;3;3;25;3;3;0;3;2;1;3;1;1;1;3;2;3;4;4;4;4;2
8;2018;4;4;3;1;4;6;6;1;3;14;5;4224;4224;3;5;1;1;2;3;3;2;4;0;3;2,25;2;1,888888889;1,714285714;1,888888889;1;1;1;3;1;1;4;4;3;4;4;8;1;0;1;2;1;1;8;2;1;2;3;1;0;3;3;1;3;1,444444444;1;1;2;4;1;4;4;3;4;2
9;2015;5;2;1;1;14;12;45;1;2;335;4;6468;24255;4;5;2;1;3;4;1;6;5;1;3;3,75;1;4,555555556;2,507936508;4,555555556;1;3;1;2;3;3;1;1;3;4;3;7;1;0;1;1;3;1;8;3;1;4;2;1;0;3;5;3;3;1,444444444;;4;3;4;3;1;1;2;2;2
10;2001;4;2;3;3;3;9;36;1;1;;1;8910;35640;3;;4;1;3;6;3;5;3;0;3;1,25;1;4,111111111;3,857142857;1,888888889;1;2;1;4;2;1;1;1;3;7;3;9;1;0;1;3;2;1;8;3;1;7;2;1;0;1;5;3;3;1;1;4;4;4;3;1;1;3;2;3
11;2000;5;2;2;2;2;6;9;1;5;36;2;5280;7920;5;3;1;3;4;5;2;5;5;0;4;2;2;4,555555556;2,746031746;1,444444444;1;3;1;3;4;2;1;1;3;4;4;10;2;0;1;2;1;1;8;1;1;8;3;2;0;3;5;3;3;4,111111111;1;1;2;1;3;1;1;2;2;1
12;2016;5;2;1;1;5;2;4;1;2;30;2;880;1760;5;5;3;1;4;7;3;6;5;1;6;3,75;2;5;2,746031746;1,444444444;1;3;1;2;1;1;1;1;1;3;2;8;2;33,33333333;1;2;2;1;8;2;1;7;2;1;0;3;4;3;3;1,444444444;4;2;3;2;1;2;1;2;1;1
13;2009;5;2;1;1;6;3;5;1;2;409;2;1848;3080;4;5;3;1;4;7;2;6;3;1;5;2;1;1,888888889;2,19047619;1,444444444;1;3;1;1;1;2;1;1;1;5;2;8;4;0;2;2;1;1;8;6;1;7;2;1;0;3;4;3;3;1,444444444;1;3;3;2;1;2;2;2;1;1
14;2010;5;2;1;1;7;3;4;1;7;30;2;1584;2112;4;5;1;1;4;7;1;6;4;1;5;2;2;1,888888889;1,317460317;1,888888889;1;3;1;2;2;1;1;1;3;4;2;8;3;0;1;3;1;1;8;6;1;7;2;1;0;3;4;3;3;1,444444444;1;1;3;1;1;1;1;2;1;1
15;2016;5;2;1;1;8;2,5;5;1;2;163;2;1320;2640;4;5;1;1;4;7;3;6;4;0;8;4;1;1,888888889;2,111111111;4,555555556;1;3;1;2;2;1;1;1;1;4;2;8;3;0;2;3;1;1;8;2;1;7;2;1;0;3;3;3;3;1,888888889;4;1;3;1;1;1;2;2;1;1
16;2014;5;2;1;1;6;2;4;2;2;91;2;880;1760;5;3;1;1;4;7;3;10;4;0;6;2,25;1;1,888888889;1,634920635;1,888888889;1;3;1;1;2;1;1;1;3;4;1;8;3;0;4;2;2;1;8;6;1;7;2;1;0;3;3;3;3;4,111111111;1;3;2;1;1;1;2;2;1;1
17;2012;5;2;1;1;2;1;1,5;3;5;60;2;264;396;5;3;1;1;4;7;3;6;5;0;4;2;1;1,888888889;1;1;1;3;1;1;2;1;1;1;1;2;1;8;3;0;1;2;1;1;8;6;1;7;2;1;0;3;3;3;3;4,111111111;1;3;2;1;1;1;1;2;1;1
18;2014;5;2;1;1;9;4,5;9;1;2;372;2;2772;5544;4;3;2;1;4;6;3;9;4;1;6;3,25;2;1,888888889;2,26984127;4,555555556;1;3;1;3;2;1;1;1;3;7;0;8;4;0;3;2;1;1;8;6;1;7;2;1;0;1;4;3;3;1,444444444;4;3;3;2;1;1;2;2;1;1
19;2018;5;3;1;1;10;4;7;1;2;172;2;704;1232;5;5;4;2;1;6;1;6;3;0;6;3;1;5;2,111111111;1,888888889;1;3;1;4;3;3;1;2;1;2;0;8;1;0;3;2;3;1;8;3;1;7;2;1;0;3;2;3;3;1;1;1;2;4;3;1;1;5;3;2
20;2015;5;2;5;6;4;6;9;4;2;1100;1;50688;76032;4;5;4;1;1;4;1;4;4;1;4;3,5;3;4,555555556;3,698412698;4,555555556;1;2;1;3;3;3;1;1;3;48;48;8;1;14,58333333;4;4;3;1;7;2;2;9;5;1;1;3;5;3;3;1,888888889;1;3;3;2;1;1;2;2;4;2
21;2000;5;2;3;2;3;4;6;1;1;350;2;6336;9504;1;3;1;1;1;3;2;3;4;0;4;2;2;4,555555556;1,158730159;1,888888889;1;2;1;3;5;1;1;1;3;6;6;12;;50;2;2;4;1;7;3;1;8;2;1;0;3;4;3;2;1,444444444;1;4;3;4;3;1;2;5;4;2
22;2009;2;1;16;2;13;3;5;1;6;50;2;1584;2640;8;2;1;1;1;6;3;2;4;1;3;2,25;1;1,888888889;3,063492063;3,222222222;1;3;1;2;1;2;1;1;3;3;3;8;1;0;3;2;2;1;8;1;1;1;1;1;1;3;5;3;3;1,444444444;1;3;3;4;1;2;2;2;2;1
23;2008;5;2;4;2;3;4;4;1;1;350;2;6336;6336;1;3;1;1;2;4;2;3;4;0;4;3;2;4,555555556;1,158730159;1,888888889;1;2;1;3;1;1;1;1;3;6;6;12;1;33,33333333;3;2;1;1;7;3;1;8;2;1;0;3;3;3;3;1,444444444;1;4;3;4;3;1;1;5;4;2
24;2015;5;2;4;2;10;12;25;1;7;50;2;6336;13200;3;3;2;2;1;6;3;5;1;0;3;2,75;1;3,666666667;2,984126984;4,111111111;2;3;1;2;1;1;1;1;3;6;2;6;1;0;8;4;2;2;8;4;1;7;2;1;0;3;3;3;3;1,444444444;2;2;3;2;1;1;1;3;4;1
25;2011;4;1;16;11;17;1;3;4;2;80;2;264;792;4;3;1;2;1;5;2;3;1;1;4;2,5;1;1,888888889;1;1,888888889;1;2;1;1;1;1;1;1;3;2;1;8;;0;2;4;1;1;5;1;2;9;5;1;1;3;3;2;2;1,444444444;1;2;3;4;2;1;2;4;4;3
26;2018;5;2;1;1;11;3;3;1;2;200;2;1155;1155;5;5;2;1;3;6;2;5;4;1;4;2,5;1;1,888888889;1,158730159;1,888888889;2;3;0;2;2;2;1;1;3;4;1;7;1;0;1;2;1;1;8;3;1;7;2;1;0;3;5;2;3;1,444444444;1;4;4;4;3;1;1;3;1;2
27;2017;5;2;1;1;10;5;5;3;2;230;2;1100;1100;5;5;3;1;2;5;1;3;4;1;4;2,25;2;1,888888889;1,317460317;4,555555556;1;3;1;2;3;2;1;1;2;2;2;5;1;0;2;1;1;1;8;3;1;7;2;1;0;3;5;1;3;;1;4;3;4;3;1;1;2;1;1
28;2009;5;1;1;1;10;5;24;2;2;220;2;1100;5280;5;4;4;2;3;6;3;6;4;1;4;1,75;1;4,555555556;3,380952381;1,888888889;1;3;1;3;1;1;1;1;2;2;0;10;1;0;2;3;2;1;8;3;1;7;2;1;0;3;4;3;3;1,444444444;2;3;2;1;3;1;1;3;2;2
29;2013;5;2;2;2;2;20;22;1;5;70;2;5280;5808;3;3;1;3;2;6;1;2;4;0;6;2,5;1;1,888888889;2,031746032;1,444444444;1;2;1;4;5;1;1;1;3;2;1;8;1;0;3;3;1;1;8;1;1;8;3;1;0;3;3;3;3;1,444444444;1;3;3;2;3;1;;2;4;2
30;2006;5;2;2;2;2;3;7;1;5;40;2;495;1155;4;3;1;2;2;5;3;3;5;0;3;1,75;1;1,888888889;3,301587302;1,444444444;2;2;0;3;3;4;2;1;3;2;1;5;3;50;3;3;3;2;8;1;1;8;3;1;0;3;3;1;3;4,111111111;3;3;2;2;3;2;2;2;3;1
31;2018;5;2;2;2;10;7;18;1;7;62;2;616;1584;4;3;1;1;2;5;3;3;4;1;8;4;1;4,555555556;4,80952381;5;2;2;1;4;1;2;2;1;3;1;0;8;1;0;3;3;2;1;8;3;1;8;3;3;0;3;3;3;3;4,111111111;2;2;2;2;4;2;3;2;1;1
32;2016;5;8;6;2;2;7;22;4;2;511;2;9240;29040;1;3;5;;;;;;4;0;6;4,5;2;5;3,380952381;3,666666667;2;1;0;1;3;4;2;3;;10;5;8;;70;8;;1;4;7;1;2;9;5;1;1;3;2;3;3;4,111111111;4;1;2;2;5;2;;2;1;2
33;2004;5;1;4;2;14;4;12;1;5;76;2;2112;6336;4;4;3;1;4;7;2;4;4;0;3;3,5;3;4,111111111;3,698412698;1,444444444;1;1;0;2;2;2;2;1;3;3;3;8;1;0;4;5;2;1;8;1;1;3;2;2;1;1;4;3;3;1,444444444;1;2;;2;3;2;1;2;4;1
34;2015;7;1;17;12;10;6;12;1;3;7;5;1584;3168;6;4;2;3;4;8;3;11;4;1;7;2,75;3;4,111111111;2,904761905;1,888888889;3;3;0;4;5;5;4;3;3;3;3;4;1;0;5;5;2;2;7;1;1;2;3;1;1;3;5;3;3;2,333333333;1;1;1;1;3;1;4;2;4;1
35;2019;5;1;3;1;3;4;4;3;7;60;2;1056;1056;8;4;3;1;1;8;3;2;5;0;6;2,5;1;1,888888889;2,904761905;1,444444444;1;3;0;2;5;1;2;2;3;2;1;8;;0;2;4;1;1;8;4;1;6;1;1;1;3;4;1;1;4,111111111;1;1;2;1;3;1;3;4;4;3
36;2012;4;1;16;11;10;12;18;3;2;530;2;25344;38016;4;3;1;1;1;4;1;2;4;1;6;2,25;1;1,888888889;1,476190476;1,444444444;1;3;1;2;3;3;1;1;2;12;12;8;;0;3;3;1;1;5;3;2;9;5;1;1;3;3;1;2;2,333333333;1;3;4;4;1;3;2;3;4;2
37;2018;4;4;16;11;10;6;6;3;2;350;2;8976;8976;4;3;1;1;1;2;3;2;4;0;4;2,25;2;1,888888889;1;1,444444444;1;2;1;4;2;2;1;1;2;9;8;8;1;0;3;2;1;1;5;2;2;9;5;1;1;2;3;1;2;1,444444444;1;4;4;4;1;2;2;3;2;2
38;2014;4;4;16;11;10;6;12;1;2;380;2;10560;21120;4;3;1;1;1;4;1;2;4;0;6;2,25;1;4,555555556;2,904761905;1,444444444;1;2;1;1;2;3;1;1;2;10;10;8;1;10;3;3;1;1;5;3;2;9;5;1;1;3;3;1;2;1,444444444;1;2;3;4;1;3;2;3;2;1
39;2016;2;2;13;1;13;2;24;1;7;70;2;1056;12672;6;3;1;3;2;7;1;6;4;0;3;2;2;1,888888889;1;1,444444444;2;3;1;3;1;1;1;1;3;3;3;8;;66,66666667;3;3;4;1;8;1;1;7;2;1;0;3;5;3;3;4,111111111;1;2;2;2;2;2;4;2;1;1
40;2009;2;2;16;4;13;12;36;1;7;30;2;5280;15840;4;5;4;1;3;6;1;3;4;1;2;3;1;5;3,380952381;1;1;3;0;3;2;1;4;4;3;5;0;8;1;0;4;2;3;1;8;1;1;8;2;4;0;2;5;3;3;1;2;2;1;1;4;3;3;2;4;2
41;2001;5;2;4;1;3;3;5;1;1;350;2;4752;7920;1;3;1;1;1;3;2;3;4;0;4;3,25;1;4,555555556;1,079365079;1,444444444;1;2;1;3;2;2;1;1;3;6;6;12;1;33,33333333;3;2;4;1;7;3;1;8;2;1;0;3;3;3;2;1,444444444;1;4;3;4;3;1;2;5;4;2
42;2017;5;2;3;1;10;6;7;1;2;433;4;1056;1232;3;4;4;2;1;8;3;2;5;1;6;2,5;2;4,555555556;1,793650794;1,444444444;1;3;0;4;3;3;2;3;3;2;0;8;1;50;6;4;2;1;8;2;2;9;1;1;1;3;3;3;3;1,444444444;4;3;1;1;1;1;2;2;4;2
43;2015;5;2;3;1;1;7;7;1;3;30;2;3080;3080;8;4;1;3;1;7;3;6;2;1;;3;3;1,888888889;2,428571429;1,444444444;3;2;0;4;5;5;1;2;3;4;4;5;5;0;3;;1;1;8;4;1;6;1;1;0;3;5;2;3;1,444444444;3;4;2;1;4;1;1;1;1;1
44;2017;5;2;3;2;10;3;6;3;7;130;2;1650;3300;5;5;3;1;1;8;3;2;4;1;6;2,25;1;4,111111111;1,634920635;3,666666667;1;1;0;4;2;1;2;1;2;5;5;5;1;40;3;3;3;1;8;3;1;3;2;1;0;3;5;3;3;1,444444444;4;3;1;1;3;3;4;2;2;1
45;2016;4;2;16;11;10;6;12;1;6;15;2;4620;9240;5;4;1;2;1;6;3;3;5;0;3;3,75;1;1,888888889;2,587301587;4,555555556;2;3;0;3;3;3;4;2;3;5;5;7;1;40;6;3;3;1;4;3;1;6;1;1;0;1;5;3;3;1,444444444;4;1;2;1;3;2;1;3;3;1
46;2018;4;2;16;11;5;6;11;1;7;51;2;11088;20328;2;4;3;1;1;4;3;3;3;1;4;4;1;5;4,650793651;4,555555556;2;2;0;3;2;1;2;1;2;12;12;7;1;0;4;2;1;2;4;2;1;6;1;1;0;3;3;2;3;1,444444444;4;1;3;1;1;1;3;4;4;3
47;2017;4;2;16;11;4;4;6;3;5;42;2;3696;5544;4;4;2;1;1;3;2;2;4;1;4;1,75;1;4,555555556;1,238095238;4,555555556;1;2;1;3;2;2;1;1;2;6;6;7;1;0;1;2;1;1;4;2;1;6;5;1;0;3;3;2;3;2,333333333;1;3;3;4;3;3;4;5;3;2
48;2012;4;2;16;11;10;0,25;0,5;4;2;195;2;462;924;4;3;1;1;1;3;1;3;1;1;4;2;2;1,888888889;1;1,888888889;1;1;1;4;3;4;1;1;2;6;6;14;1;0;2;3;1;1;5;1;2;9;5;1;1;3;1;1;2;1,444444444;1;2;3;4;1;1;2;4;4;2
49;2012;4;2;16;11;1;0,25;0,5;4;2;195;2;462;924;4;3;1;1;1;3;1;3;1;1;4;2;2;1,888888889;1;1,888888889;1;2;1;1;3;4;1;1;2;6;6;14;1;0;2;3;1;1;5;1;2;9;5;1;1;3;1;1;2;1,444444444;1;2;3;4;1;1;2;4;4;2
50;2016;4;2;16;11;17;3;11;3;2;80;2;1584;5808;4;3;1;1;1;5;3;3;4;1;5;2,5;2;1,888888889;3,142857143;4,555555556;1;3;0;1;1;1;1;1;3;3;3;8;;0;3;3;1;1;4;2;1;10;5;1;1;3;3;3;2;;1;3;4;4;1;2;2;3;2;2
51;2016;4;2;16;11;17;7;12;3;2;420;2;4928;8448;4;3;1;1;1;5;1;2;2;1;6;3,25;2;1,888888889;4,253968254;1,888888889;3;3;0;1;2;2;1;1;3;4;4;8;;0;3;3;1;1;4;2;1;10;5;1;1;3;2;3;2;2,333333333;1;3;3;4;1;2;2;3;2;1
52;2012;4;2;16;11;10;1;1,5;4;2;195;2;1540;2310;4;3;1;1;1;3;1;3;1;1;4;2;2;1,888888889;1;1,888888889;1;2;1;1;3;4;1;1;2;6;4;14;;0;2;3;1;1;4;1;1;10;5;1;1;3;1;1;2;1,444444444;1;2;3;1;1;2;2;4;4;2
53;2017;5;1;3;2;10;6;18;1;2;333;2;1584;4752;5;4;5;2;1;8;3;3;5;1;5;3,25;2;5;1,952380952;4,555555556;1;3;1;4;3;3;2;3;3;3;0;8;1;66,66666667;5;4;3;1;8;1;1;10;3;1;1;3;5;3;3;1,444444444;1;3;1;1;2;1;3;2;4;1
54;2014;2;1;16;8;13;3;4;1;7;13;2;1056;1408;8;4;4;2;1;5;3;2;5;1;2;1,75;1;4,111111111;2,26984127;4,555555556;3;3;1;2;5;4;1;1;3;2;2;8;1;0;2;3;1;1;8;1;1;7;2;1;0;3;4;3;3;1,444444444;1;3;1;4;4;1;1;2;1;2
55;2005;2;1;16;8;13;2;6;1;7;9;2;1056;3168;5;1;1;1;1;5;1;4;4;1;5;2,5;2;4,555555556;1;1,888888889;1;1;1;2;2;1;1;1;2;5;1;8;1;20;2;1;1;1;8;3;1;7;2;1;0;3;3;1;3;1;1;4;4;4;3;2;1;2;1;2
