;Year of project;Organization type;Role in organization;Size of organization;Size of IT department;Customer organization type;Estimated duration;Actual duration;Development type;Application domain;Object points;Other sizing method;Estimated effort;Actual effort;Contract maturity;Government policy impact;Economic instability impact;Organization management structure clarity;Developer hiring policy;Developer incentives policy;Developer training;Development team management;Top management support;Top management opinion of previous system;Clarity of manual system;User resistance;User computer experience;Users stability;Requirment stability;Requirements flexibility;Project manager experience;Consultant availability;DBMS expert availability;Precedentedness;Software tool experience;Programmers experience in programming language;Programmers capability;Analysts capability;Team selection;Team size;Dedicated team members;Daily working hours;Team contracts;Team continuity;Team cohesion;Income satisfaction;Schedule quality;Development environment adequacy;Tool availability;Methodology;Multiple programing languages;Programming language used;DBMS used;Technical stability;Open source software;Level of outsourcing;Degree of software reuse;Degree of risk management;Use of standards;Process reengineering;Requirement accuracy level;Technical documentation;Comments within the code;User manual;Required reusability;Performance requirements;Product complexity;Security requirements;Reliability requirements;Specified H/W
56;2009;5;2;3;2;5;4;6;1;7;95;2;1056;1584;6;3;1;1;1;4;1;3;1;1;4;1;2;4,111111111;1,634920635;1,444444444;2;3;1;3;5;2;2;2;2;2;1;8;3;0;2;1;1;1;8;1;1;8;3;1;1;3;2;3;3;1,444444444;1;3;3;1;3;1;1;2;3;1
57;2015;4;1;16;11;17;8;12;3;2;540;2;5632;8448;5;3;1;1;1;5;1;2;4;0;6;3,25;2;1,888888889;3,53968254;1,888888889;3;3;0;1;3;3;1;1;3;4;4;8;;0;3;3;1;1;5;2;1;10;5;1;1;3;3;3;2;4,111111111;1;3;4;4;1;2;2;3;2;2
58;2017;4;2;3;1;4;3;3;1;7;43;5;2112;2112;3;3;1;1;2;4;3;2;4;1;2;2,5;1;1,888888889;2,19047619;1;1;2;0;3;1;1;4;4;3;4;4;8;1;0;1;2;1;1;4;2;1;4;3;1;0;3;4;1;3;1;1;1;3;4;3;4;3;3;4;2
59;2007;5;2;3;1;5;5;6;1;7;37;2;880;1056;5;3;1;1;2;7;3;2;4;1;4;2,25;2;4,111111111;1,396825397;1,888888889;2;3;1;2;3;3;3;2;3;1;1;8;1;0;3;2;2;1;8;1;1;11;3;1;1;3;5;3;3;1,444444444;1;1;1;1;4;1;1;2;1;1
60;2010;5;2;7;2;10;15;12;1;5;26;2;7920;6336;3;3;1;3;2;5;3;3;5;0;6;2,5;1;4,111111111;1,317460317;1,888888889;1;3;0;1;1;1;1;1;2;4;2;8;2;0;2;3;1;1;8;1;1;11;3;2;0;3;3;3;3;1,888888889;1;4;2;4;1;1;2;2;4;1
61;2017;5;2;4;2;2;2;3;1;3;17;2;352;528;5;3;1;1;1;6;1;3;3;1;4;1,25;1;4,111111111;2,111111111;1,444444444;2;3;0;4;1;5;1;2;1;1;1;8;1;0;2;2;3;1;6;1;2;23;3;1;0;3;2;3;3;1,444444444;1;1;1;1;1;1;2;5;4;2
62;2013;4;2;9;11;4;6;8;1;5;10;2;6336;8448;1;1;1;1;1;4;;4;4;1;3;1,75;1;5;3,46031746;5;1;3;1;3;1;2;1;1;3;12;0;8;3;16,66666667;3;1;1;1;7;3;1;10;5;1;1;3;3;1;3;1;1;4;4;4;3;1;1;2;2;2
63;2016;2;2;16;4;13;5;8;1;6;70;2;2640;4224;8;1;1;1;1;6;3;2;4;0;3;2,25;2;4,111111111;2,19047619;4,111111111;1;2;1;2;2;2;1;1;3;3;3;8;1;0;3;2;3;1;8;1;1;1;1;1;1;3;2;3;3;4,111111111;1;3;3;4;1;2;2;2;2;1
64;2011;3;2;7;3;14;6;9;1;7;280;2;11616;17424;4;5;1;2;3;5;3;3;2;1;4;2;1;4,555555556;4,333333333;1,444444444;1;2;1;4;2;4;1;1;3;11;11;8;1;18,18181818;4;1;1;1;8;3;1;12;2;1;0;1;1;3;3;1;1;3;3;4;3;3;4;5;4;2
65;2006;5;2;7;2;5;12;18;1;7;14;2;14784;22176;3;4;2;1;2;3;2;2;4;1;3;2;1;4,555555556;3,222222222;1,444444444;2;3;0;1;3;3;2;2;3;10;4;8;5;20;3;4;1;2;8;3;1;8;1;2;0;3;5;1;3;1,444444444;1;3;3;2;3;2;1;2;3;2
66;2006;5;2;7;2;5;3;6;1;5;40;2;3960;7920;4;4;3;1;2;4;2;2;4;1;3;2;1;4,555555556;3,063492063;1,444444444;1;3;0;2;3;3;2;2;3;10;5;8;3;20;2;4;1;1;8;3;1;8;1;1;0;3;5;1;3;1,444444444;1;3;3;2;3;1;2;2;2;1
67;2014;5;1;5;6;4;10;16;2;2;250;2;17600;28160;4;3;1;2;4;4;2;5;4;1;4;2,75;1;1,888888889;3,53968254;4,555555556;1;3;1;4;3;3;2;2;3;10;10;8;3;30;4;3;1;2;6;3;1;10;5;1;1;3;3;3;3;1;1;4;2;4;1;2;2;2;1;2
68;2006;5;2;7;2;4;3;6;1;5;30;2;1848;3696;4;4;4;1;3;5;2;3;4;1;4;2,25;2;4,555555556;2,666666667;1,888888889;1;3;0;3;3;2;2;2;3;5;2;8;2;40;3;4;3;2;8;1;1;8;1;1;0;3;5;1;2;1,444444444;1;3;2;2;1;1;2;2;3;2
69;2018;8;2;9;1;13;18;24;1;2;;2;3168;4224;3;4;2;1;1;8;3;3;5;1;5;3,75;2;1,888888889;4,253968254;1,888888889;;;1;;;;;;2;1;1;8;1;;;3;;;;2;3;13;5;;1;;;;;1,444444444;;;;;;;;;;
70;2018;4;2;7;1;4;6;6;1;7;43;2;3168;3168;3;3;1;1;2;4;3;2;4;0;2;1,5;1;1,888888889;2,428571429;1;1;2;1;3;1;1;4;4;3;3;3;8;1;0;1;2;1;1;4;2;1;1;2;2;0;3;2;3;3;1;1;1;3;4;3;4;3;3;4;1
71;2013;4;1;16;11;10;1;2;4;2;195;2;1848;3696;4;3;1;1;1;2;1;3;1;1;4;2,25;2;1,888888889;1;1,888888889;1;2;1;1;3;4;1;1;3;6;6;14;1;0;2;3;1;1;5;1;1;10;5;1;1;3;1;1;2;1,444444444;1;2;3;4;1;1;2;4;4;2
72;2011;4;1;8;11;10;3;4;1;2;380;2;11880;15840;3;2;1;1;1;3;1;2;2;1;5;1,5;2;1,888888889;1,952380952;1,444444444;1;3;1;3;2;3;1;1;3;25;20;8;1;4;3;3;1;1;5;1;1;10;5;1;1;3;5;2;2;1,444444444;1;3;3;4;2;1;3;3;2;
73;2018;5;2;4;5;14;9;15;1;2;800;2;26928;44880;5;4;1;3;1;6;2;5;5;0;5;3;1;3,666666667;2,746031746;1,444444444;1;1;1;3;3;3;2;2;2;18;16;8;1;0;2;3;1;1;5;1;1;10;5;2;1;3;5;1;3;1;1;3;4;1;2;1;4;1;3;1
74;2016;5;1;3;2;12;6;16;1;2;145;4;12672;33792;2;4;3;2;1;7;2;4;4;1;5;3;2;4,555555556;2,746031746;2,333333333;2;3;1;3;2;2;2;2;3;12;12;8;1;50;3;4;1;2;4;1;2;10;5;1;1;3;4;1;3;1,444444444;1;3;3;4;1;1;2;3;3;1
75;2017;5;2;2;1;14;8;13;1;7;240;2;11264;18304;4;3;1;1;1;5;1;2;4;0;4;1,75;1;1,888888889;3,222222222;3,666666667;1;1;1;4;1;1;2;2;2;8;8;8;2;0;2;2;1;1;8;3;1;6;1;1;0;3;3;2;3;1,444444444;1;4;3;4;2;1;2;2;4;1
76;2016;5;2;2;1;14;12;9;1;7;117;2;12672;9504;2;3;4;1;1;5;2;6;4;1;6;1,75;2;4,555555556;1,476190476;1;1;3;1;2;1;1;3;3;3;6;6;8;3;50;4;3;1;1;8;3;1;6;1;1;0;3;2;3;3;1;1;4;1;4;3;1;1;1;;1
77;2008;5;2;4;2;2;2;2,5;1;7;67;2;462;577,5;5;3;1;3;4;6;1;4;3;0;3;1,75;3;1,888888889;1,714285714;4,111111111;2;3;0;2;1;1;2;1;3;2;1;7;1;0;2;1;2;1;4;1;1;11;3;1;0;3;5;3;3;4,111111111;1;1;1;1;3;1;2;3;4;1
78;2015;5;3;3;3;16;3;5;1;7;29;2;2640;4400;7;4;2;2;2;6;2;4;1;1;4;2,25;1;1,888888889;4,333333333;1,888888889;1;3;1;4;1;1;2;2;2;5;5;8;1;0;4;2;3;1;7;3;2;16;1;2;0;3;5;3;3;2,333333333;3;2;2;3;3;2;4;3;2;1
79;2014;5;2;3;3;14;6;12;1;7;103;2;4224;8448;4;4;2;2;1;6;2;8;1;1;3;1,75;1;1,888888889;3,857142857;4,555555556;2;1;1;4;1;2;3;2;3;5;3;8;1;20;4;2;2;1;6;3;1;3;3;1;0;3;1;3;3;2,333333333;3;2;2;2;4;4;4;2;1;1
80;2013;7;1;17;12;1;4;5;1;6;470;2;1408;1760;4;4;1;1;1;4;3;3;1;1;2;1,75;1;1,888888889;1,476190476;3,666666667;2;3;1;1;1;1;1;3;3;2;2;8;5;0;2;4;1;1;6;3;1;1;1;1;0;3;4;3;3;1;1;4;3;4;2;4;2;5;2;2
81;2010;7;1;17;12;14;4;4;1;6;350;2;2816;2816;4;3;1;1;1;8;3;6;1;1;4;2,25;2;1,888888889;1;3,222222222;2;1;0;1;5;3;2;2;3;4;4;8;1;0;2;3;2;1;7;1;1;1;1;1;0;3;5;3;3;1;1;4;2;1;1;3;2;4;2;2
82;2009;1;2;16;2;1;4;12;1;6;18;2;1584;4752;4;3;3;1;4;7;2;5;4;1;7;3,5;1;4,555555556;1;1,888888889;1;3;1;4;4;1;1;1;3;4;2;6;1;50;1;5;1;1;7;7;2;17;2;1;0;3;4;2;3;1;1;4;4;1;4;1;2;2;1;2
83;2018;1;2;16;2;1;4;6;1;6;90;2;1760;2640;4;4;3;2;2;7;3;2;5;1;5;2,25;2;1,888888889;3,53968254;3,222222222;3;1;1;1;3;3;2;2;3;3;2;8;1;66,66666667;3;4;3;1;7;1;1;1;2;1;1;3;4;3;3;1,444444444;1;2;3;4;3;2;2;3;2;1
84;2004;7;1;17;12;10;4;5;2;5;165;2;2112;2640;4;4;3;3;2;7;3;6;4;1;6;3;2;4,555555556;3,936507937;4,555555556;3;2;1;1;1;1;2;2;3;8;0;6;5;12,5;3;2;4;1;8;3;1;7;2;1;1;3;5;3;3;2,333333333;4;1;2;1;1;1;1;2;2;1
85;2002;7;2;17;12;2;7;10;2;5;210;2;1540;2200;4;4;3;3;1;7;3;6;2;1;6;2,5;3;2,333333333;3,698412698;4,555555556;1;3;1;3;1;1;2;2;3;1;1;10;1;0;2;2;2;1;8;3;1;7;2;1;0;3;4;3;3;4,555555556;1;1;2;4;1;1;1;2;2;1
86;2004;5;2;17;12;10;12;36;2;7;700;2;4224;12672;5;4;2;3;4;7;3;6;3;1;6;4,5;1;4,555555556;4,333333333;4,555555556;2;1;1;4;1;1;1;1;2;2;2;8;3;0;2;2;2;1;6;3;1;7;2;3;0;3;4;3;3;5;4;3;2;4;1;1;1;2;1;2
87;2007;5;2;17;12;2;2;9;2;5;140;2;176;792;4;4;4;3;4;8;3;11;4;1;5;3;2;1,888888889;3,380952381;1,444444444;3;3;0;1;1;1;2;2;3;1;0;8;1;0;3;1;4;1;8;3;1;7;2;1;0;3;5;3;3;2,333333333;1;2;2;1;3;1;2;2;1;3
88;1997;5;2;17;12;2;12;48;1;7;260;2;2640;10560;4;4;4;3;4;5;3;6;3;1;7;3;2;4,555555556;4,333333333;2,333333333;2;2;1;4;1;1;2;1;2;1;1;10;1;0;3;1;2;1;8;3;1;7;2;4;0;3;4;3;3;1,444444444;4;1;2;4;4;1;2;2;3;2
89;2013;3;1;9;3;13;6;8;1;6;20;2;2640;3520;4;2;2;2;1;6;3;3;4;1;5;2,5;1;1,888888889;2,031746032;1,888888889;1;1;1;4;3;3;2;2;3;5;0;8;1;0;2;4;2;2;3;3;1;18;1;2;1;3;5;1;2;3,666666667;2;4;2;4;2;1;1;2;1;1
90;2016;3;1;9;3;13;5;24;1;7;12;2;880;4224;6;5;4;2;4;7;3;3;5;1;4;3,5;2;5;3,380952381;5;2;2;1;3;1;2;2;2;3;2;0;8;1;0;3;3;3;3;8;4;1;7;2;1;0;3;4;3;3;2,333333333;1;4;2;4;4;2;3;4;2;4
91;2017;3;2;13;2;13;3;2;1;7;9;2;2904;1936;7;5;2;2;2;7;3;4;5;1;4;3,75;2;1,888888889;1;1,888888889;1;3;0;3;1;1;1;1;3;7;4;8;1;0;2;5;1;2;8;1;1;7;2;1;0;3;5;2;3;1,444444444;1;4;2;1;4;1;1;2;1;1
92;2017;3;2;13;2;13;3;6;1;5;20;2;1056;2112;4;5;1;1;1;7;1;3;5;1;3;3,25;1;5;1,476190476;4,555555556;1;3;1;3;1;1;2;1;3;4;0;8;1;0;5;4;3;1;8;1;1;7;2;1;0;3;5;3;3;1,444444444;1;4;3;4;1;1;4;2;4;1
93;2014;8;1;9;2;13;9;13;1;5;25;2;2673;3861;4;3;2;1;4;6;3;4;4;0;2;2,25;1;1,888888889;1;1,888888889;1;3;1;1;1;1;1;1;3;2;1;9;3;0;2;2;1;1;8;1;1;7;2;1;0;3;5;3;3;1,888888889;1;1;3;2;1;1;4;2;2;1
94;2016;5;6;6;9;4;4;10;4;2;1700;2;31680;79200;4;5;4;1;1;3;1;4;4;1;6;3,75;2;4,555555556;4,333333333;3,666666667;1;1;1;4;4;5;2;2;3;45;45;8;1;22,22222222;6;3;1;2;2;2;1;10;5;4;1;3;;3;2;2,333333333;2;4;2;4;3;1;2;2;1;2
95;2006;5;1;2;2;5;6;12;1;7;170;2;3696;7392;7;4;2;1;4;8;3;6;5;0;6;4,5;2;5;3,380952381;1,444444444;2;3;0;3;1;1;2;1;2;6;1;8;1;0;4;4;1;1;8;1;1;1;2;1;1;3;2;3;3;4,555555556;4;1;1;1;4;1;1;1;3;1
96;2019;5;1;2;1;15;1;1;1;5;35;2;704;704;1;3;1;1;1;4;1;3;4;1;4;1,5;1;1,888888889;3,063492063;3,666666667;1;3;1;2;2;2;1;1;2;5;3;8;2;0;4;1;1;1;5;2;1;1;1;1;1;3;4;2;3;1,444444444;1;4;3;4;1;2;2;2;2;1
97;2019;5;2;2;1;10;4;8;1;2;98;2;1760;3520;3;4;4;2;4;6;3;10;4;1;6;2,25;2;5;3,619047619;3,666666667;1;3;0;3;2;2;3;3;3;3;2;8;2;33,33333333;5;2;3;1;8;2;2;10;5;1;1;3;1;3;3;1,444444444;4;1;1;3;4;2;3;2;3;1
98;2018;8;2;16;11;13;6;5,5;1;7;32;2;3168;2904;6;3;1;1;1;5;2;3;4;1;3;1,75;1;1,888888889;2,349206349;1,444444444;1;3;1;3;1;1;1;1;2;3;3;8;1;0;2;2;1;1;7;2;3;19;3;1;0;3;2;2;1;1,444444444;1;3;3;4;1;1;3;2;1;1
99;2019;5;3;1;1;10;3;1;1;2;88;2;2112;704;6;4;4;1;4;6;3;6;4;1;6;3;1;4,555555556;2,349206349;1,444444444;1;2;1;3;1;1;4;4;2;5;3;8;;40;2;1;1;3;6;3;1;1;1;1;1;3;5;3;3;1,444444444;1;2;3;1;3;2;2;2;4;1
100;2016;5;1;1;1;10;1;2;1;6;37;2;264;528;8;4;1;1;4;7;3;5;4;0;4;2,5;1;1,888888889;1,714285714;1,888888889;3;2;1;2;2;2;1;1;2;2;1;8;3;100;1;3;1;1;6;1;1;1;1;1;0;3;4;3;3;3,666666667;1;4;3;1;4;2;2;2;2;1
101;2005;5;2;7;2;13;3;4;2;5;22;2;1320;1760;4;3;2;1;2;4;2;2;4;1;3;2;1;4,555555556;3,777777778;1,444444444;2;3;0;3;3;3;1;2;3;3;2;8;1;33,33333333;3;4;1;2;7;3;1;7;2;2;0;3;5;1;3;1,444444444;1;3;3;1;3;2;2;2;4;2
102;2016;3;1;16;4;13;6;8;1;6;70;2;4224;5632;8;1;1;1;1;6;3;3;4;1;3;2,75;1;1,888888889;3,301587302;3,666666667;1;3;1;4;2;2;1;1;3;5;3;8;2;20;3;4;3;1;8;1;1;1;1;1;0;3;5;3;3;1,444444444;4;3;2;4;1;2;2;2;3;1
103;1994;5;2;4;2;3;9;15;1;1;450;2;8910;14850;4;1;1;1;4;7;3;4;4;0;3;3;2;1,888888889;3,53968254;4,555555556;1;3;0;2;5;2;2;2;3;5;5;9;1;0;5;3;2;1;8;1;1;7;2;1;0;3;5;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
104;1993;5;2;4;2;3;9;15;1;1;450;2;10692;17820;4;1;1;1;4;7;3;4;4;0;3;3;2;1,888888889;3,53968254;4,555555556;1;3;0;2;5;2;2;2;3;7;5;9;2;0;5;3;2;1;8;1;1;7;2;1;0;3;5;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
105;2001;5;2;1;1;3;9;9;1;1;650;2;5346;5346;3;1;1;1;4;8;3;5;4;0;3;2,5;1;1,888888889;3,53968254;1;1;3;1;3;1;1;2;2;3;3;3;9;1;0;3;2;2;1;8;3;1;7;2;1;0;3;4;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
106;2002;5;2;3;1;3;9;9;1;1;650;2;10692;10692;3;1;1;1;4;8;3;5;4;0;3;2,5;1;1,888888889;3,53968254;1;1;3;1;3;1;1;2;2;3;6;6;9;3;0;3;2;2;1;8;3;1;7;2;1;0;3;3;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
107;1998;5;2;4;2;3;12;12;1;1;450;2;10692;10692;3;3;1;1;4;7;2;5;4;0;3;2,5;2;1,888888889;3,53968254;4,555555556;1;3;0;2;2;2;2;2;3;6;3;9;3;0;5;3;2;1;8;1;1;7;2;1;0;3;5;3;3;4,111111111;4;2;1;4;4;1;2;2;2;1
108;2018;5;2;2;1;3;9;9;1;1;750;2;8019;8019;3;1;1;1;4;8;3;5;4;0;3;2,5;1;1,888888889;3,53968254;1;1;3;1;3;1;1;2;2;3;6;3;9;3;0;3;2;2;1;8;3;1;7;2;1;0;3;4;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
109;1997;5;2;4;2;3;12;9;1;1;450;2;14256;10692;4;1;1;1;4;8;3;4;4;0;3;2,5;1;1,888888889;3,53968254;1;1;3;1;2;1;2;2;2;3;7;5;9;2;0;3;3;2;1;8;1;1;7;2;1;0;3;4;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
110;2001;5;2;3;1;3;9;12;1;1;650;2;8019;10692;3;1;1;1;4;8;3;5;4;0;3;2,5;1;1,888888889;3,53968254;1,888888889;1;3;1;3;1;1;2;2;3;6;3;9;3;0;3;2;2;1;8;3;1;7;2;1;0;3;4;3;3;4,111111111;4;2;1;4;4;1;2;1;2;1
111;2017;8;1;16;11;13;5;6;1;7;18;2;3520;4224;5;3;1;1;1;5;3;3;5;1;4;2;2;1,888888889;4,333333333;3,222222222;1;3;1;3;1;2;2;1;3;6;2;8;4;0;3;2;2;2;4;2;1;4;3;1;0;3;5;3;3;1;2;4;3;4;2;1;2;2;3;3
112;2018;5;7;6;7;3;7;11;1;1;500;2;4158;6534;6;4;1;2;2;7;3;5;2;0;3;4;2;5;2,904761905;1,888888889;1;3;1;1;2;2;2;2;3;5;4;6;1;0;2;4;1;1;4;2;1;6;1;1;0;3;5;3;3;4,111111111;3;4;4;4;2;1;1;4;1;1
113;2019;5;2;7;2;10;3;7;4;2;125;2;1485;3465;5;4;3;1;1;5;1;4;4;1;6;3;2;1,888888889;4,174603175;4,555555556;1;3;1;1;2;2;2;1;2;5;0;9;1;20;4;2;1;1;7;2;1;10;5;1;1;3;2;2;2;;2;2;3;2;1;2;2;2;3;1
114;2017;6;1;16;11;13;8;14;1;7;180;2;9152;16016;6;5;4;1;1;7;3;8;4;1;4;3,75;1;5;3,857142857;4,555555556;2;2;1;3;3;3;4;4;3;9;4;8;2;22,22222222;3;4;3;2;5;3;1;6;3;2;0;1;2;2;3;2,333333333;3;2;3;4;4;2;2;2;1;4
115;2018;1;2;16;1;13;2;3;4;7;65;2;528;792;6;3;1;1;1;7;2;2;3;0;6;3,25;3;4,555555556;2,746031746;1;1;2;0;1;5;3;1;1;2;2;1;8;1;0;1;1;4;2;8;2;1;1;1;1;1;2;5;2;3;1,444444444;4;1;1;4;3;2;1;2;3;2
116;1998;4;1;3;3;3;6;18;1;1;50;2;7128;21384;6;5;7;;4;5;2;5;4;0;4;2,25;1;4,555555556;1;1,444444444;3;2;1;4;5;5;1;2;3;5;4;12;2;20;6;3;3;4;8;1;1;7;2;2;0;3;4;3;3;4,111111111;;1;1;1;4;1;1;1;1;2
117;2006;2;2;16;6;13;2;5;1;5;11;2;352;880;8;4;1;1;1;8;1;2;2;1;4;1,75;1;1,888888889;3,936507937;1,444444444;1;3;1;2;2;2;1;2;3;2;0;8;1;0;2;4;3;1;8;1;1;7;2;1;0;3;5;3;3;1,444444444;1;4;3;4;4;1;1;2;1;1
118;2016;6;1;16;11;13;3;12;2;7;67;2;792;3168;6;4;2;1;1;7;3;2;4;1;6;2,25;2;1,888888889;2,746031746;4,111111111;1;3;1;2;5;5;1;1;3;2;1;8;1;0;3;4;1;1;8;3;1;1;2;1;0;3;3;3;3;1,444444444;1;1;3;1;1;2;1;2;3;2
119;2016;2;4;16;4;4;12;36;1;7;12;2;6336;19008;5;5;2;1;3;6;2;10;5;1;3;4,75;2;4,111111111;3,46031746;4,111111111;1;3;1;3;1;1;3;3;3;3;3;8;1;0;5;4;4;3;8;3;1;8;3;1;1;3;5;3;3;1,444444444;3;3;1;2;4;1;2;2;1;1
